TargetId,SuiteId,CommitSha,TestStatus,EvidenceStatus,TestedAtUtc,LimitationCode,EvidenceReference
SQL2019-WINDOWS,RELEASE_GATE_ALL,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2019-WINDOWS,SMOKE,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2019-WINDOWS,PARAMETER_API,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2019-WINDOWS,FILTER_OUTPUT,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2019-WINDOWS,SPECIAL_CASE_API,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2022-WINDOWS,RELEASE_GATE_ALL,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2022-WINDOWS,SMOKE,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2022-WINDOWS,PARAMETER_API,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2022-WINDOWS,FILTER_OUTPUT,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2022-WINDOWS,SPECIAL_CASE_API,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2025-WINDOWS,RELEASE_GATE_ALL,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2025-WINDOWS,SMOKE,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2025-WINDOWS,PARAMETER_API,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2025-WINDOWS,FILTER_OUTPUT,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
SQL2025-WINDOWS,SPECIAL_CASE_API,,NOT_EXECUTED,REPORTED,,NOT_EXECUTED,
WINDOWS-SELF-HOSTED,WINDOWS_REPOSITORY_PORTABILITY,ebd40e3f2625907624e59a4084510c110d6b3073,PASS,INDEPENDENTLY_VERIFIED,2026-07-25T10:44:41Z,WINDOWS_TOOLCHAIN_POWERSHELL_PRIVACY_INSTALLER_LAB_STATIC,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/30155009012
SQL2022-LINUX,RELEASE_GATE_ALL,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:26Z,ACTIONS_SYNTHETIC_34_SUITES,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699733
SQL2022-LINUX,SMOKE,7e3ba1a4e2fa79761c2daf24bee23dd73feed297,PASS,INDEPENDENTLY_VERIFIED,2026-07-18T07:59:12Z,ACTIONS_SYNTHETIC_TARGET,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29636655029
